Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
89,LETTUCE,,21,2.5,,2.1,0.3,,,300,,50,990,23,178,0,0.1,0,0,0,110,,2.4,320,390,,,310,30,0,70,0,0.5,1,,,,280,28,33,0.1,,58,,27,,0.1,270,,0.34,,,50,170,320,10,0
,"LETTUCE TREE LEAVES, mature",,,10.2,,,,,,,,320,,0,,0,0,,,,,,2.6,,,,,,0,0,,0,,1,,,,,80,0,,,0,,0,,,,,,,,,,,,0
,"LETTUCE TREE LEAVES, tender",,,3.2,,,,,,,,170,,0,,0,0,,,,,,3.6,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,MENATHAKKALI LEAVES,,,8.9,,,,,,,,410,,0,,0,0,,,,,,20.5,,,,,,0,0,,0,,1,,,,,70,0,,,0,,0,,,,,,,,,,,,0
,MAYALU,,,4.2,,,,,,,,200,,0,,0,0,,,,,,10,,,,,,0,0,,0,,1,,,,,35,0,,,0,,0,,,,,,,,,,,,0
,MINT,,,5.8,,,,,,,,200,,34,,0,0.2,,,,,,15.6,,,,,,60,0.6,,0,,1,,,,,62,0,,,0,,84,,,,,,,,,,,,0.4
,MODAKANTHAN KEERAI,,,9.1,,,,,,,,0,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,0,0,,,0,,0,,,,,,,,,,,,0
,MUKARRATE KEERAI,,,7.2,,,,,,,,667,,0,,0,0,,,,,,18.4,,,,,,0,0,,0,,1,,,,,99,0,,,0,,0,,,,,,,,,,,,0
,MUSTARD LEAVES,,,3.2,,,,,,,,155,,0,,0,0,,,,,,16.3,,,,,,0,0,,0,,1,,,,,26,0,,,0,,0,,,,,,,,,,,,0
,NEERINGI,,,8.6,,,,,,,,1550,,0,,0,0,,,,,,9.2,,,,,,0,0,,0,,1,,,,,82,0,,,0,,0,,,,,,,,,,,,0
,PARSLEY,,,13.5,,,,,,,,390,,0,,0,0,,,,,,17.9,,,,,,0,0,,0,,1,,,,,175,0,,,0,,0,,,,,,,,,,,,0
,PARUPPU KEERAI,,,2.9,,,,,,,,111,,73,,0,0.2,,,,,,14.8,,,,,,120,0,,0,,1,,,,,45,716,,,67.2,,63,,,,,,,,,,,,0
,PONNANGANNI,,,11.6,,,,,,,,510,,0,,0,0.2,,,,,,1.63,,,,,,46,0.5,,0,,1,,,,,60,0,,,0,,13,,,,,,,,,,,,0
102,PUMPKIN LEAVES,,57,7.9,,4.6,0.8,,,430,,392,0,0,0,0,0,60,0,0,100,,0,310,630,,,340,0,0,110,0,0,1,,,,340,112,0,0,,0,,0,,0,310,,0.74,,,80,310,360,0,0
