Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
BULLOCK'S HEART,0,0,0,0,0,0,0,0,0,0,10,10,0.6,15.7
CAPE GOOSEBERRY,31,0.9,320,0.2,0,0,0,0,43,12,10,67,2,11.1
CASHEW FRUIT,0,0,0,0,0,0,0,0,0,0,10,10,0.2,12.3
"CHERRIES, red",27,0,320,0.1,0.8,0,0.3,0,0,0,24,25,0.57,13.8
"CURRANTS, black",0,0,0,0,0,0,0,0,0,0,130,110,8.5,75.2
"DATES, dried",0,0,0,0,0,0,0,0,0,0,120,50,7.3,75.8
DATES fresh,12,0,0,0.1,0,0,0,0,0,0,22,38,0.96,33.8
FIGS (Ficus carcia),0,0,0,0,0,0,0,0,0,0,80,30,1,7.6
"GRAPES, blue variety",0,0,0,0,0,0,0,0,0,0,20,23,0.5,13.1
"GRAPES, Pale green variety",82,0,0,0.2,0.1,0,0.1,0,0,0,20,30,0.52,16.5
"GRAPE FRUIT, Marsh's seedless",0,0,0,0,0,0,0,0,0,0,30,30,0.2,10
"GRAPE FRUIT, triumph",0,0,0,0,0,0,0,0,0,0,20,20,0.2,7
"GUAVA, country",24,5.5,91,0.1,0.1,0,0.2,0,14,4,10,28,0.27,11.2
"GUAVA, hill",0,0,0,0,0,0,0,0,0,0,50,20,1.2,9
HARFAROWRIE,0,0,0,0,0,0,0,0,0,0,6,6,0,5.9
JACK FRUIT,24,0,0,0.1,0.1,0,0.1,0,69,9,20,41,0.56,19.8
"JAMB, safed",0,0,0,0,0,0,0,0,0,0,17,3,0.1,3.7
JAMBU FRUIT,39,26.2,55,0.1,0.2,0,0.2,0,13,8,15,15,0.43,14
KORUKKAPALLI,40,37,377,0.6,0,0,0,0,109,51,14,49,1,16
LAKUCH,0,0,0,0,0,0,0,0,0,0,50,20,0.5,13.3
LEMON,19,0,270,0.1,0.1,0,0.1,0,0,0,70,10,0.26,11.1
LEMON SWEET,0,0,210,0.1,0,0,0,0,0,0,30,20,0.7,7.3
LICHI,10,124.9,159,0.3,0,0,0,0,19,3,10,35,0.7,13.6
"LICHIES, bastard",0,0,0,0,0,0,0,0,0,0,15,35,0,13.1
LIME,0,0,0,0,0,0,0,0,0,0,90,20,0.3,10.9
"LIME, sweet, malta",0,0,170,0.5,0,0,0,0,0,0,30,20,1,7.8
"LIME, sweet, musambi",0,0,490,0.2,0,0,0,0,0,0,40,30,0.7,9.3
LOQUAT,0,0,390,0.1,0,0,0,0,0,0,30,20,1.3,9.6
MAHUA,0,0,0,0,0,0,0,0,0,0,45,22,0.23,22.7
MANGO RIPE,270,26,205,0.1,0.1,0,0.3,0,17,3,14,16,1.3,16.9
MANGOSTEEN,0,0,0,0,0,0,0,0,0,0,10,20,0.2,14.3
"MELON, musk",31,104.6,341,0,0,0,0,0,32,80,32,14,1.4,3.5
"MELON, sweeter",13,27.3,160,0.1,0,0,0,0,42,21,11,12,7.9,3.3
MULBERRY,0,0,0,0,0,0,0,0,0,0,70,30,2.3,10.3
ORANGE,9,4.5,9.3,0.6,0,0,0,0,7,5,26,20,0.32,10.9
ORANGE JUICE,0,0,0,0,0,0,0,0,0,0,5,9,0.7,1.9
PALMYRA FRUIT ripe (mesocarp),0,0,0,0,0,0,0,0,0,0,9,33,0,20.7
"PALMYRA FRUIT, tender",0,0,0,0,0,0,0,0,0,0,10,20,0.5,6.5
"PAPAYA, ripe",11,6,69,0.2,0,0,0,0,13,11,17,13,0.5,7.2
PASSION FRUIT,0,0,0,0,0,0,0,0,0,0,10,60,2,12.4
PASSION FRUIT JUICE,0,0,0,0,0,0,0,0,0,0,10,30,0.7,7.7
PEACHES,21,2,453,0.1,0,0,0,0,26,0,15,41,2.4,10.5
PEARS,7,6.1,96,0.4,0,0,0,0,14,1,8,15,0.5,11.9
PERSIMMON,0,0,0,0,0,0,0,0,0,0,15,10,0.3,17.9
PHALSA,72,4.4,351,0.1,0,0,0,0,13,86,129,39,3.1,14.7
PINE APPLE,33,34.7,37,0.1,0.6,0,0.1,0,20,13,20,9,2.42,10.8
PLUM,147,0.8,247,0.1,0,0,0,0,33,0,10,12,0.6,11.1
POMEGRANATE,44,0.9,133,0.3,0.8,0,0.8,0,12,2,10,70,1.79,14.5
PRUNES,0,0,0,0,0,0,0,0,0,0,10,18,0,12.8
PUMMELO,0,0,0,0,0,0,0,0,0,0,30,30,0.3,10.2
